trader_name,phone_numbers,stock_symbol,stock_name,exchange,market_cap,trans_date,trans_type,price_usd
Corinne Yerson,757-516-9387*657-796-4002,PDI,PIMCO Dynamic Income Fund,NYSE,$1.43B,3/22/2019,BUY,38.52
Farrand Rother,612-171-1391*621-405-8883,PLOW,"Douglas Dynamics, Inc.",NYSE,$689.02M,1/2/2019,SELL,42.456
Farrand Rother,612-171-1391*621-405-8883,PLOW,"Douglas Dynamics, Inc.",NYSE,$689.02M,1/3/2019,BUY,41.4
Farrand Rother,612-171-1391*621-405-8883,PLOW,"Douglas Dynamics, Inc.",NYSE,$689.02M,1/4/2019,SELL,42.288
Farrand Rother,612-171-1391*621-405-8883,PLOW,"Douglas Dynamics, Inc.",NYSE,$689.02M,1/7/2019,SELL,42.06
Nessie Gatiss,152-357-5011*356-165-9195,BLBD,Blue Bird Corporation,NASDAQ,$420.7M,3/12/2019,SELL,20.292
Nessie Gatiss,152-357-5011*356-165-9195,BLBD,Blue Bird Corporation,NASDAQ,$420.7M,3/13/2019,SELL,20.46
Nessie Gatiss,152-357-5011*356-165-9195,BLBD,Blue Bird Corporation,NASDAQ,$420.7M,3/14/2019,SELL,20.592
Nessie Gatiss,152-357-5011*356-165-9195,BLBD,Blue Bird Corporation,NASDAQ,$420.7M,3/15/2019,SELL,20.196
Mervin Wehner,407-166-0465*899-274-7783,PMTS,CPI Card Group Inc.,NASDAQ,$127.33M,1/3/2019,BUY,2.916
Mervin Wehner,407-166-0465*899-274-7783,PMTS,CPI Card Group Inc.,NASDAQ,$127.33M,1/4/2019,SELL,2.94
Mervin Wehner,407-166-0465*899-274-7783,PMTS,CPI Card Group Inc.,NASDAQ,$127.33M,1/7/2019,SELL,3.444
Mervin Wehner,407-166-0465*899-274-7783,PMTS,CPI Card Group Inc.,NASDAQ,$127.33M,1/8/2019,SELL,3.312
Mervin Wehner,407-166-0465*899-274-7783,PMTS,CPI Card Group Inc.,NASDAQ,$127.33M,1/9/2019,BUY,3.276
Mervin Wehner,407-166-0465*899-274-7783,PMTS,CPI Card Group Inc.,NASDAQ,$127.33M,1/10/2019,SELL,3.3168
Mervin Wehner,407-166-0465*899-274-7783,PMTS,CPI Card Group Inc.,NASDAQ,$127.33M,1/11/2019,BUY,3.42
Cornell Bucklan,516-777-1157*459-219-5333,SID,National Steel Company,NYSE,$2.51B,5/13/2019,BUY,4.092
Cornell Bucklan,516-777-1157*459-219-5333,SID,National Steel Company,NYSE,$2.51B,5/14/2019,BUY,4.26
Cornell Bucklan,516-777-1157*459-219-5333,SID,National Steel Company,NYSE,$2.51B,5/15/2019,SELL,4.26
Cornell Bucklan,516-777-1157*459-219-5333,SID,National Steel Company,NYSE,$2.51B,5/16/2019,SELL,4.392
Cornell Bucklan,516-777-1157*459-219-5333,SID,National Steel Company,NYSE,$2.51B,5/17/2019,BUY,4.44
Renato Hesse,107-357-1450,ZIV,VelocityShares Daily Inverse VIX Medium-Term ETN,NASDAQ,$112.63M,5/24/2019,BUY,85.512
Renato Hesse,107-357-1450,ZIV,VelocityShares Daily Inverse VIX Medium-Term ETN,NASDAQ,$112.63M,5/28/2019,SELL,85.44
Renato Hesse,107-357-1450,ZIV,VelocityShares Daily Inverse VIX Medium-Term ETN,NASDAQ,$112.63M,5/29/2019,BUY,84.48
Renato Hesse,107-357-1450,ZIV,VelocityShares Daily Inverse VIX Medium-Term ETN,NASDAQ,$112.63M,5/30/2019,SELL,84.984
Renato Hesse,107-357-1450,ZIV,VelocityShares Daily Inverse VIX Medium-Term ETN,NASDAQ,$112.63M,5/31/2019,BUY,83.508
Irv Chrippes,662-907-7838*703-346-0342,EVT,Eaton Vance Tax Advantaged Dividend Income Fund,NYSE,$1.6B,5/10/2019,BUY,28.104
Irv Chrippes,662-907-7838*703-346-0342,EVT,Eaton Vance Tax Advantaged Dividend Income Fund,NYSE,$1.6B,5/13/2019,BUY,27.6
Irv Chrippes,662-907-7838*703-346-0342,EVT,Eaton Vance Tax Advantaged Dividend Income Fund,NYSE,$1.6B,5/14/2019,SELL,27.912
Irv Chrippes,662-907-7838*703-346-0342,EVT,Eaton Vance Tax Advantaged Dividend Income Fund,NYSE,$1.6B,5/15/2019,SELL,28.08
Irv Chrippes,662-907-7838*703-346-0342,EVT,Eaton Vance Tax Advantaged Dividend Income Fund,NYSE,$1.6B,5/16/2019,BUY,28.344
Irv Chrippes,662-907-7838*703-346-0342,EVT,Eaton Vance Tax Advantaged Dividend Income Fund,NYSE,$1.6B,5/17/2019,SELL,28.2
Giffy Roft,475-248-9440*466-238-1441,GWPH,GW Pharmaceuticals Plc,NASDAQ,$2.48B,6/12/2019,SELL,212.052
Giffy Roft,475-248-9440*466-238-1441,GWPH,GW Pharmaceuticals Plc,NASDAQ,$2.48B,6/13/2019,BUY,210.888
Giffy Roft,475-248-9440*466-238-1441,GWPH,GW Pharmaceuticals Plc,NASDAQ,$2.48B,6/14/2019,BUY,205.056
Giffy Roft,475-248-9440*466-238-1441,GWPH,GW Pharmaceuticals Plc,NASDAQ,$2.48B,6/17/2019,SELL,204.384
Giffy Roft,475-248-9440*466-238-1441,GWPH,GW Pharmaceuticals Plc,NASDAQ,$2.48B,6/18/2019,SELL,211.2
Giffy Roft,475-248-9440*466-238-1441,GWPH,GW Pharmaceuticals Plc,NASDAQ,$2.48B,6/19/2019,SELL,210.984
Giffy Roft,475-248-9440*466-238-1441,GWPH,GW Pharmaceuticals Plc,NASDAQ,$2.48B,6/20/2019,SELL,210.96
Giffy Roft,475-248-9440*466-238-1441,GWPH,GW Pharmaceuticals Plc,NASDAQ,$2.48B,6/21/2019,BUY,208.356
Haley D'Alessandro,813-417-9788*275-758-1735,KRA,Kraton Corporation,NYSE,$979.78M,2/26/2019,SELL,42.732
Haley D'Alessandro,813-417-9788*275-758-1735,KRA,Kraton Corporation,NYSE,$979.78M,2/27/2019,BUY,43.488
Haley D'Alessandro,813-417-9788*275-758-1735,KRA,Kraton Corporation,NYSE,$979.78M,2/28/2019,SELL,42.696
Haley D'Alessandro,813-417-9788*275-758-1735,KRA,Kraton Corporation,NYSE,$979.78M,3/1/2019,SELL,42.804
Haley D'Alessandro,813-417-9788*275-758-1735,KRA,Kraton Corporation,NYSE,$979.78M,3/4/2019,SELL,43.26
Haley D'Alessandro,813-417-9788*275-758-1735,KRA,Kraton Corporation,NYSE,$979.78M,3/5/2019,BUY,42.216
Haley D'Alessandro,813-417-9788*275-758-1735,KRA,Kraton Corporation,NYSE,$979.78M,3/6/2019,BUY,42.648
Haley D'Alessandro,813-417-9788*275-758-1735,KRA,Kraton Corporation,NYSE,$979.78M,3/7/2019,SELL,41.52
Helaina Fleckness,986-671-8231*581-690-1321,PSXP,Phillips 66 Partners LP,NYSE,$5.04B,4/3/2019,SELL,63.672
Helaina Fleckness,986-671-8231*581-690-1321,PSXP,Phillips 66 Partners LP,NYSE,$5.04B,4/4/2019,SELL,62.844
Helaina Fleckness,986-671-8231*581-690-1321,PSXP,Phillips 66 Partners LP,NYSE,$5.04B,4/5/2019,SELL,63.492
Helaina Fleckness,986-671-8231*581-690-1321,PSXP,Phillips 66 Partners LP,NYSE,$5.04B,4/8/2019,SELL,62.796
Helaina Fleckness,986-671-8231*581-690-1321,PSXP,Phillips 66 Partners LP,NYSE,$5.04B,4/9/2019,SELL,62.448
Helaina Fleckness,986-671-8231*581-690-1321,PSXP,Phillips 66 Partners LP,NYSE,$5.04B,4/10/2019,BUY,62.004
Lindy Loseke,837-774-3111,FUN,"Cedar Fair, L.P.",NYSE,$3.97B,1/14/2019,BUY,64.392
Lindy Loseke,837-774-3111,FUN,"Cedar Fair, L.P.",NYSE,$3.97B,1/15/2019,BUY,65.844
Lindy Loseke,837-774-3111,FUN,"Cedar Fair, L.P.",NYSE,$3.97B,1/16/2019,BUY,67.104
Lindy Loseke,837-774-3111,FUN,"Cedar Fair, L.P.",NYSE,$3.97B,1/17/2019,SELL,66.696
Lindy Loseke,837-774-3111,FUN,"Cedar Fair, L.P.",NYSE,$3.97B,1/18/2019,SELL,66.888
Bartlett Genn,200-725-0881*757-939-2197,VBF,Invesco Bond Fund,NYSE,$221.63M,2/7/2019,SELL,21.468
Bartlett Genn,200-725-0881*757-939-2197,VBF,Invesco Bond Fund,NYSE,$221.63M,2/8/2019,BUY,21.252
Bartlett Genn,200-725-0881*757-939-2197,VBF,Invesco Bond Fund,NYSE,$221.63M,2/11/2019,SELL,21.312
Bartlett Genn,200-725-0881*757-939-2197,VBF,Invesco Bond Fund,NYSE,$221.63M,2/12/2019,SELL,21.264
Bartlett Genn,200-725-0881*757-939-2197,VBF,Invesco Bond Fund,NYSE,$221.63M,2/13/2019,SELL,21.24
Bartlett Genn,200-725-0881*757-939-2197,VBF,Invesco Bond Fund,NYSE,$221.63M,2/14/2019,SELL,21.312
Bartlett Genn,200-725-0881*757-939-2197,VBF,Invesco Bond Fund,NYSE,$221.63M,2/15/2019,SELL,21.504
Danny Copes,749-161-1727*879-719-3731,ATSG,"Air Transport Services Group, Inc",NASDAQ,$1.31B,6/13/2019,SELL,28.428
Danny Copes,749-161-1727*879-719-3731,ATSG,"Air Transport Services Group, Inc",NASDAQ,$1.31B,6/14/2019,SELL,28.128
Danny Copes,749-161-1727*879-719-3731,ATSG,"Air Transport Services Group, Inc",NASDAQ,$1.31B,6/17/2019,SELL,27.672
Danny Copes,749-161-1727*879-719-3731,ATSG,"Air Transport Services Group, Inc",NASDAQ,$1.31B,6/18/2019,SELL,27.888
Danny Copes,749-161-1727*879-719-3731,ATSG,"Air Transport Services Group, Inc",NASDAQ,$1.31B,6/19/2019,BUY,28.62
Danny Copes,749-161-1727*879-719-3731,ATSG,"Air Transport Services Group, Inc",NASDAQ,$1.31B,6/20/2019,SELL,28.26
Danny Copes,749-161-1727*879-719-3731,ATSG,"Air Transport Services Group, Inc",NASDAQ,$1.31B,6/21/2019,BUY,27.852
Guss Osgar,888-750-0333*829-282-8195,NTZ,"Natuzzi, S.p.A.",NYSE,$147.55M,1/3/2019,SELL,5.4
Guss Osgar,888-750-0333*829-282-8195,NTZ,"Natuzzi, S.p.A.",NYSE,$147.55M,1/4/2019,SELL,5.22
Guss Osgar,888-750-0333*829-282-8195,NTZ,"Natuzzi, S.p.A.",NYSE,$147.55M,1/7/2019,SELL,5.52
Guss Osgar,888-750-0333*829-282-8195,NTZ,"Natuzzi, S.p.A.",NYSE,$147.55M,1/8/2019,BUY,5.7
Guss Osgar,888-750-0333*829-282-8195,NTZ,"Natuzzi, S.p.A.",NYSE,$147.55M,1/9/2019,SELL,5.88
Guss Osgar,888-750-0333*829-282-8195,NTZ,"Natuzzi, S.p.A.",NYSE,$147.55M,1/10/2019,SELL,5.88
Guss Osgar,888-750-0333*829-282-8195,NTZ,"Natuzzi, S.p.A.",NYSE,$147.55M,1/11/2019,BUY,6.12
Aileen Whild,961-289-0722*822-968-2303,MUH,"Blackrock MuniHoldings Fund II, Inc.",NYSE,$180.01M,1/18/2019,BUY,16.248
Aileen Whild,961-289-0722*822-968-2303,MUH,"Blackrock MuniHoldings Fund II, Inc.",NYSE,$180.01M,1/22/2019,SELL,16.248
Aileen Whild,961-289-0722*822-968-2303,MUH,"Blackrock MuniHoldings Fund II, Inc.",NYSE,$180.01M,1/23/2019,SELL,16.272
Aileen Whild,961-289-0722*822-968-2303,MUH,"Blackrock MuniHoldings Fund II, Inc.",NYSE,$180.01M,1/24/2019,SELL,16.344
Aileen Whild,961-289-0722*822-968-2303,MUH,"Blackrock MuniHoldings Fund II, Inc.",NYSE,$180.01M,1/25/2019,SELL,16.356
Gail Ralph,358-532-2795*911-832-2121,FCA,First Trust China AlphaDEX Fund,NASDAQ,$4.63M,7/2/2019,BUY,32.46
Gail Ralph,358-532-2795*911-832-2121,FCA,First Trust China AlphaDEX Fund,NASDAQ,$4.63M,7/3/2019,BUY,32.112
Gail Ralph,358-532-2795*911-832-2121,FCA,First Trust China AlphaDEX Fund,NASDAQ,$4.63M,7/5/2019,BUY,31.488
Morna Runnett,862-717-8958,BR,"Broadridge Financial Solutions, Inc.",NYSE,$8.86B,2/14/2019,SELL,119.352
Morna Runnett,862-717-8958,BR,"Broadridge Financial Solutions, Inc.",NYSE,$8.86B,2/15/2019,SELL,120.42
Annis Huriche,577-334-2807,NUE,Nucor Corporation,NYSE,$17.52B,5/22/2019,SELL,63.456
Annis Huriche,577-334-2807,NUE,Nucor Corporation,NYSE,$17.52B,5/23/2019,BUY,61.668
Annis Huriche,577-334-2807,NUE,Nucor Corporation,NYSE,$17.52B,5/24/2019,BUY,61.392
Annis Huriche,577-334-2807,NUE,Nucor Corporation,NYSE,$17.52B,5/28/2019,BUY,61.212
Annis Huriche,577-334-2807,NUE,Nucor Corporation,NYSE,$17.52B,5/29/2019,SELL,60.912
Annis Huriche,577-334-2807,NUE,Nucor Corporation,NYSE,$17.52B,5/30/2019,SELL,59.136
Annis Huriche,577-334-2807,NUE,Nucor Corporation,NYSE,$17.52B,5/31/2019,SELL,57.6
Sherry Mayoh,703-594-7806*822-284-0245,ATEC,"Alphatec Holdings, Inc.",NASDAQ,$19.65M,4/22/2019,BUY,3.36
Sherry Mayoh,703-594-7806*822-284-0245,ATEC,"Alphatec Holdings, Inc.",NASDAQ,$19.65M,4/23/2019,BUY,3.372
Sherry Mayoh,703-594-7806*822-284-0245,ATEC,"Alphatec Holdings, Inc.",NASDAQ,$19.65M,4/24/2019,BUY,3.504
Sherry Mayoh,703-594-7806*822-284-0245,ATEC,"Alphatec Holdings, Inc.",NASDAQ,$19.65M,4/25/2019,BUY,3.588
Sherry Mayoh,703-594-7806*822-284-0245,ATEC,"Alphatec Holdings, Inc.",NASDAQ,$19.65M,4/26/2019,BUY,3.78
Sherry Mayoh,703-594-7806*822-284-0245,ATEC,"Alphatec Holdings, Inc.",NASDAQ,$19.65M,4/29/2019,SELL,4.38
Sherry Mayoh,703-594-7806*822-284-0245,ATEC,"Alphatec Holdings, Inc.",NASDAQ,$19.65M,4/30/2019,BUY,5.1
Murdock Garnett,701-876-9774*945-531-8492,ADXS,"Advaxis, Inc.",NASDAQ,$243.18M,2/4/2019,SELL,7.02
Murdock Garnett,701-876-9774*945-531-8492,ADXS,"Advaxis, Inc.",NASDAQ,$243.18M,2/5/2019,BUY,6.66
Murdock Garnett,701-876-9774*945-531-8492,ADXS,"Advaxis, Inc.",NASDAQ,$243.18M,2/6/2019,BUY,7.992
Murdock Garnett,701-876-9774*945-531-8492,ADXS,"Advaxis, Inc.",NASDAQ,$243.18M,2/7/2019,SELL,7.398
Murdock Garnett,701-876-9774*945-531-8492,ADXS,"Advaxis, Inc.",NASDAQ,$243.18M,2/8/2019,SELL,6.876
Murdock Garnett,701-876-9774*945-531-8492,ADXS,"Advaxis, Inc.",NASDAQ,$243.18M,2/11/2019,SELL,7.02
Murdock Garnett,701-876-9774*945-531-8492,ADXS,"Advaxis, Inc.",NASDAQ,$243.18M,2/12/2019,SELL,7.2
Iago Simonett,917-528-0892*192-581-4333,RJF,"Raymond James Financial, Inc.",NYSE,$11.3B,4/8/2019,BUY,102.6
Iago Simonett,917-528-0892*192-581-4333,RJF,"Raymond James Financial, Inc.",NYSE,$11.3B,4/9/2019,SELL,101.616
Iago Simonett,917-528-0892*192-581-4333,RJF,"Raymond James Financial, Inc.",NYSE,$11.3B,4/10/2019,BUY,102.732
Iago Simonett,917-528-0892*192-581-4333,RJF,"Raymond James Financial, Inc.",NYSE,$11.3B,4/11/2019,BUY,103.824
Gaspard Bellsham,119-325-2637,FIBK,"First Interstate BancSystem, Inc.",NASDAQ,$2.13B,2/19/2019,SELL,50.076
Gaspard Bellsham,119-325-2637,FIBK,"First Interstate BancSystem, Inc.",NASDAQ,$2.13B,2/20/2019,SELL,50.628
Gaspard Bellsham,119-325-2637,FIBK,"First Interstate BancSystem, Inc.",NASDAQ,$2.13B,2/21/2019,SELL,50.556
Rakel Guinane,759-793-1191*393-102-4682,EFSC,Enterprise Financial Services Corporation,NASDAQ,$965.1M,5/9/2019,SELL,50.376
Rakel Guinane,759-793-1191*393-102-4682,EFSC,Enterprise Financial Services Corporation,NASDAQ,$965.1M,5/10/2019,BUY,51.06
Rakel Guinane,759-793-1191*393-102-4682,EFSC,Enterprise Financial Services Corporation,NASDAQ,$965.1M,5/13/2019,BUY,49.452
Rakel Guinane,759-793-1191*393-102-4682,EFSC,Enterprise Financial Services Corporation,NASDAQ,$965.1M,5/14/2019,BUY,50.292
Rakel Guinane,759-793-1191*393-102-4682,EFSC,Enterprise Financial Services Corporation,NASDAQ,$965.1M,5/15/2019,SELL,49.896
Janifer Gatus,490-531-7310*476-209-8589,WMB,"Williams Companies, Inc. (The)",NYSE,$24.06B,2/14/2019,SELL,32.232
Janifer Gatus,490-531-7310*476-209-8589,WMB,"Williams Companies, Inc. (The)",NYSE,$24.06B,2/15/2019,BUY,32.724
Janifer Gatus,490-531-7310*476-209-8589,WMB,"Williams Companies, Inc. (The)",NYSE,$24.06B,2/19/2019,SELL,32.904
Janifer Gatus,490-531-7310*476-209-8589,WMB,"Williams Companies, Inc. (The)",NYSE,$24.06B,2/20/2019,SELL,32.82
Janifer Gatus,490-531-7310*476-209-8589,WMB,"Williams Companies, Inc. (The)",NYSE,$24.06B,2/21/2019,BUY,32.472
Ramsay McCutcheon,735-899-8121*187-823-0242,SLRC,Solar Capital Ltd.,NASDAQ,$920.44M,3/26/2019,SELL,25.176
Ramsay McCutcheon,735-899-8121*187-823-0242,SLRC,Solar Capital Ltd.,NASDAQ,$920.44M,3/27/2019,BUY,25.092
Ramsay McCutcheon,735-899-8121*187-823-0242,SLRC,Solar Capital Ltd.,NASDAQ,$920.44M,3/28/2019,SELL,25.164
Ramsay McCutcheon,735-899-8121*187-823-0242,SLRC,Solar Capital Ltd.,NASDAQ,$920.44M,3/29/2019,BUY,25.008
Ramsay McCutcheon,735-899-8121*187-823-0242,SLRC,Solar Capital Ltd.,NASDAQ,$920.44M,4/1/2019,BUY,25.176
Gardie Dashwood,728-847-0128*659-866-8645,PFL,PIMCO Income Strategy Fund,NYSE,$298.39M,4/15/2019,SELL,13.86
Gardie Dashwood,728-847-0128*659-866-8645,PFL,PIMCO Income Strategy Fund,NYSE,$298.39M,4/16/2019,BUY,13.884
Gardie Dashwood,728-847-0128*659-866-8645,PFL,PIMCO Income Strategy Fund,NYSE,$298.39M,4/17/2019,SELL,13.86
Gardie Dashwood,728-847-0128*659-866-8645,PFL,PIMCO Income Strategy Fund,NYSE,$298.39M,4/18/2019,BUY,13.86
Jens Birkmyr,800-905-1984*184-523-8837,PRA,ProAssurance Corporation,NYSE,$3.28B,4/22/2019,SELL,42.024
Jens Birkmyr,800-905-1984*184-523-8837,PRA,ProAssurance Corporation,NYSE,$3.28B,4/23/2019,BUY,42.42
Jens Birkmyr,800-905-1984*184-523-8837,PRA,ProAssurance Corporation,NYSE,$3.28B,4/24/2019,BUY,43.224
Jens Birkmyr,800-905-1984*184-523-8837,PRA,ProAssurance Corporation,NYSE,$3.28B,4/25/2019,BUY,43.32
Jens Birkmyr,800-905-1984*184-523-8837,PRA,ProAssurance Corporation,NYSE,$3.28B,4/26/2019,SELL,42.852
Jens Birkmyr,800-905-1984*184-523-8837,PRA,ProAssurance Corporation,NYSE,$3.28B,4/29/2019,SELL,43.548
Bastien Steart,320-845-0905*624-850-4195,ZBK,Zions Bancorporation,NYSE,,2/21/2019,SELL,34.668
Bastien Steart,320-845-0905*624-850-4195,ZBK,Zions Bancorporation,NYSE,,2/22/2019,BUY,34.668
Bastien Steart,320-845-0905*624-850-4195,ZBK,Zions Bancorporation,NYSE,,2/25/2019,BUY,34.668
Bastien Steart,320-845-0905*624-850-4195,ZBK,Zions Bancorporation,NYSE,,2/26/2019,BUY,34.884
Bastien Steart,320-845-0905*624-850-4195,ZBK,Zions Bancorporation,NYSE,,2/27/2019,SELL,35.88
Bastien Steart,320-845-0905*624-850-4195,ZBK,Zions Bancorporation,NYSE,,2/28/2019,BUY,34.956
Bastien Steart,320-845-0905*624-850-4195,ZBK,Zions Bancorporation,NYSE,,3/1/2019,SELL,35.16
Karine Danielou,293-272-9412,NTX,Nuveen Texas Quality Municipal Income Fund,NYSE,$144.39M,3/21/2019,BUY,15.96
Karine Danielou,293-272-9412,NTX,Nuveen Texas Quality Municipal Income Fund,NYSE,$144.39M,3/22/2019,BUY,16.02
Sophey Coller,855-274-7494,FDC,First Data Corporation,NYSE,$16.65B,3/12/2019,BUY,30.672
Sophey Coller,855-274-7494,FDC,First Data Corporation,NYSE,$16.65B,3/13/2019,SELL,30.732
Sophey Coller,855-274-7494,FDC,First Data Corporation,NYSE,$16.65B,3/14/2019,BUY,30.54
Sophey Coller,855-274-7494,FDC,First Data Corporation,NYSE,$16.65B,3/15/2019,SELL,30.756
Sophey Coller,855-274-7494,FDC,First Data Corporation,NYSE,$16.65B,3/18/2019,BUY,30.432
Sophey Coller,855-274-7494,FDC,First Data Corporation,NYSE,$16.65B,3/19/2019,SELL,30.144
Sophey Coller,855-274-7494,FDC,First Data Corporation,NYSE,$16.65B,3/20/2019,BUY,29.748
Sophey Coller,855-274-7494,FDC,First Data Corporation,NYSE,$16.65B,3/21/2019,BUY,30.636
Shayna Andryszczak,465-112-5491*204-426-1434,ALBO,"Albireo Pharma, Inc.",NASDAQ,$150.43M,4/24/2019,BUY,36.96
Shayna Andryszczak,465-112-5491*204-426-1434,ALBO,"Albireo Pharma, Inc.",NASDAQ,$150.43M,4/25/2019,BUY,38.256
Shayna Andryszczak,465-112-5491*204-426-1434,ALBO,"Albireo Pharma, Inc.",NASDAQ,$150.43M,4/26/2019,BUY,39.72
Shayna Andryszczak,465-112-5491*204-426-1434,ALBO,"Albireo Pharma, Inc.",NASDAQ,$150.43M,4/29/2019,SELL,40.344
Shayna Andryszczak,465-112-5491*204-426-1434,ALBO,"Albireo Pharma, Inc.",NASDAQ,$150.43M,4/30/2019,SELL,41.304
Shayna Andryszczak,465-112-5491*204-426-1434,ALBO,"Albireo Pharma, Inc.",NASDAQ,$150.43M,5/1/2019,BUY,42.204
Conroy Babington,730-827-9944*503-651-3786,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,NYSE,$875.62M,2/11/2019,BUY,51.78
Conroy Babington,730-827-9944*503-651-3786,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,NYSE,$875.62M,2/12/2019,BUY,52.62
Conroy Babington,730-827-9944*503-651-3786,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,NYSE,$875.62M,2/13/2019,BUY,53.124
Conroy Babington,730-827-9944*503-651-3786,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,NYSE,$875.62M,2/14/2019,BUY,52.68
Conroy Babington,730-827-9944*503-651-3786,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,NYSE,$875.62M,2/15/2019,BUY,54.456
Conroy Babington,730-827-9944*503-651-3786,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,NYSE,$875.62M,2/19/2019,BUY,53.1
Conroy Babington,730-827-9944*503-651-3786,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,NYSE,$875.62M,2/20/2019,SELL,53.016
Daron Langrick,769-729-5972*926-349-0756,LFVN,Lifevantage Corporation,NASDAQ,$56.08M,6/13/2019,BUY,14.22
Daron Langrick,769-729-5972*926-349-0756,LFVN,Lifevantage Corporation,NASDAQ,$56.08M,6/14/2019,SELL,14.436
Daron Langrick,769-729-5972*926-349-0756,LFVN,Lifevantage Corporation,NASDAQ,$56.08M,6/17/2019,SELL,14.412
Daron Langrick,769-729-5972*926-349-0756,LFVN,Lifevantage Corporation,NASDAQ,$56.08M,6/18/2019,SELL,14.784
Daron Langrick,769-729-5972*926-349-0756,LFVN,Lifevantage Corporation,NASDAQ,$56.08M,6/19/2019,BUY,14.58
Daron Langrick,769-729-5972*926-349-0756,LFVN,Lifevantage Corporation,NASDAQ,$56.08M,6/20/2019,SELL,14.04
Daron Langrick,769-729-5972*926-349-0756,LFVN,Lifevantage Corporation,NASDAQ,$56.08M,6/21/2019,SELL,13.728
Frieda Myhill,459-649-6057*952-652-6624,ABTX,"Allegiance Bancshares, Inc.",NASDAQ,$514.79M,6/5/2019,BUY,39.264
Frieda Myhill,459-649-6057*952-652-6624,ABTX,"Allegiance Bancshares, Inc.",NASDAQ,$514.79M,6/6/2019,SELL,39.024
Frieda Myhill,459-649-6057*952-652-6624,ABTX,"Allegiance Bancshares, Inc.",NASDAQ,$514.79M,6/7/2019,SELL,38.928
Frieda Myhill,459-649-6057*952-652-6624,ABTX,"Allegiance Bancshares, Inc.",NASDAQ,$514.79M,6/10/2019,SELL,39.324
Verine Linklet,676-714-0664*825-316-6671,WFT,Weatherford International plc,NYSE,$4.03B,4/25/2019,BUY,0.72
